order_id,amount,region,timestamp
ORD-000000,78.39,North,2024-01-01T12:00:00
ORD-000001,90.16,South,
ORD-000002,109.5,East,2024-01-03T12:00:00
ORD-000003,128.57,West,2024-01-04T12:00:00
ORD-000004,,North,2024-01-05T12:00:00
ORD-000005,160.02,South,2024-01-06T12:00:00
ORD-000006,175.71,East,2024-01-07T12:00:00
ORD-000007,193.82,West,2024-01-08T12:00:00
ORD-000008,214.4,North,2024-01-09T12:00:00
ORD-000009,50000.0,South,2024-01-10T12:00:00
ORD-000010,241.74,East,2024-01-11T12:00:00
ORD-000011,260.07,West,2024-01-12T12:00:00
ORD-000012,279.46,North,2024-01-13T12:00:00
ORD-000013,299.58,South,2024-01-14T12:00:00
ORD-000014,313.73,East,2024-01-15T12:00:00
ORD-000015,328.82,West,2024-01-16T12:00:00
ORD-000016,345.18,North,2024-01-17T12:00:00
ORD-000017,363.06,South,2024-01-18T12:00:00
ORD-000095,93.38,West,2024-01-12T12:00:00
ORD-000019,399.57,West,2024-01-20T12:00:00
ORD-000020,416.37,North,2024-01-21T12:00:00
ORD-000021,432.93,South,2024-01-22T12:00:00
ORD-000094,471.1,East,2024-01-11T12:00:00
ORD-000023,465.09,West,2024-01-24T12:00:00
ORD-000024,83.18,North,2024-01-25T12:00:00
ORD-000025,100.3,South,2024-01-26T12:00:00
ORD-000026,119.97,East,2024-01-27T12:00:00
ORD-000027,131.9,West,2024-01-28T12:00:00
ORD-000028,151.6,North,2024-01-01T12:00:00
ORD-000029,168.91,South,2024-01-02T12:00:00
ORD-000030,183.26,East,2024-01-03T12:00:00
ORD-000031,201.41,West,2024-01-04T12:00:00
ORD-000032,222.06,North,2024-01-05T12:00:00
ORD-000033,234.97,South,2024-01-06T12:00:00
ORD-000034,251.88,East,2024-01-07T12:00:00
ORD-000035,270.07,West,2024-01-08T12:00:00
ORD-000036,290.21,North,2024-01-09T12:00:00
ORD-000037,303.73,South,2024-01-10T12:00:00
ORD-000038,323.12,East,2024-01-11T12:00:00
ORD-000039,335.04,West,2024-01-12T12:00:00
ORD-000040,355.98,North,2024-01-13T12:00:00
ORD-000041,372.11,South,2024-01-14T12:00:00
ORD-000042,392.83,East,2024-01-15T12:00:00
ORD-000043,406.69,West,2024-01-16T12:00:00
ORD-000044,422.44,North,2024-01-17T12:00:00
ORD-000045,437.46,South,2024-01-18T12:00:00
ORD-000046,456.84,East,2024-01-19T12:00:00
ORD-000047,474.67,West,2024-01-20T12:00:00
ORD-000048,87.53,North,2024-01-21T12:00:00
ORD-000049,110.17,,2024-01-22T12:00:00
ORD-000050,127.05,East,2024-01-23T12:00:00
ORD-000051,143.16,West,2024-01-24T12:00:00
ORD-000052,158.72,North,2024-01-25T12:00:00
ORD-000053,176.35,South,2024-01-26T12:00:00
ORD-000054,191.81,East,2024-01-27T12:00:00
ORD-000055,212.24,West,2024-01-28T12:00:00
ORD-000056,223.06,North,2024-01-01T12:00:00
ORD-000057,241.66,South,2024-01-02T12:00:00
ORD-000077,184.74,South,2024-01-22T12:00:00
ORD-000059,278.44,West,2024-01-04T12:00:00
ORD-000060,298.61,North,2024-01-05T12:00:00
ORD-000061,313.88,,2024-01-06T12:00:00
ORD-000062,328.08,East,2024-01-07T12:00:00
ORD-000103,226.09,West,2024-01-20T12:00:00
ORD-000064,360.33,North,2024-01-09T12:00:00
ORD-000065,376.55,South,2024-01-10T12:00:00
ORD-000066,399.52,East,2024-01-11T12:00:00
ORD-000067,412.16,West,2024-01-12T12:00:00
ORD-000068,434.82,North,2024-01-13T12:00:00
ORD-000069,450.03,South,2024-01-14T12:00:00
ORD-000070,463.24,East,2024-01-15T12:00:00
ORD-000071,81.58,West,2024-01-16T12:00:00
,96.45,North,2024-01-17T12:00:00
ORD-000073,115.55,South,2024-01-18T12:00:00
ORD-000074,,East,2024-01-19T12:00:00
ORD-000075,148.63,West,2024-01-20T12:00:00
ORD-000076,166.07,North,2024-01-21T12:00:00
ORD-000077,184.74,South,2024-01-22T12:00:00
ORD-000078,200.21,East,2024-01-23T12:00:00
ORD-000079,217.53,West,2024-01-24T12:00:00
ORD-000080,236.51,North,2024-01-25T12:00:00
ORD-000081,249.99,South,2024-01-26T12:00:00
ORD-000082,272.08,East,2024-01-27T12:00:00
ORD-000083,282.74,West,2024-01-28T12:00:00
ORD-000084,303.08,North,2024-01-01T12:00:00
ORD-000085,319.21,South,2024-01-02T12:00:00
ORD-000086,333.8,East,2024-01-03T12:00:00
ORD-000087,355.8,West,2024-01-04T12:00:00
ORD-000088,373.85,North,2024-01-05T12:00:00
ORD-000029,168.91,South,2024-01-02T12:00:00
ORD-000090,401.69,East,2024-01-07T12:00:00
ORD-000091,423.75,West,2024-01-08T12:00:00
ORD-000092,439.88,North,2024-01-09T12:00:00
ORD-000093,454.93,South,2024-01-10T12:00:00
ORD-000094,471.1,East,2024-01-11T12:00:00
ORD-000095,93.38,West,2024-01-12T12:00:00
ORD-000096,105.55,,2024-01-13T12:00:00
ORD-000097,122.65,South,2024-01-14T12:00:00
ORD-000098,143.42,East,2024-01-15T12:00:00
ORD-000099,157.94,West,2024-01-16T12:00:00
,175.85,North,2024-01-17T12:00:00
ORD-000101,195.17,South,2024-01-18T12:00:00
ORD-000102,209.63,East,2024-01-19T12:00:00
ORD-000103,226.09,West,2024-01-20T12:00:00
ORD-000104,246.45,North,2024-01-21T12:00:00
ORD-000105,259.09,South,2024-01-22T12:00:00
ORD-000106,279.53,East,
ORD-000107,291.18,West,2024-01-24T12:00:00
,311.91,North,2024-01-25T12:00:00
ORD-000109,328.02,South,2024-01-26T12:00:00
ORD-000110,,East,2024-01-27T12:00:00
ORD-000111,362.98,West,2024-01-28T12:00:00
ORD-000112,379.14,North,2024-01-01T12:00:00
ORD-000113,399.83,South,2024-01-02T12:00:00
ORD-000114,411.11,East,2024-01-03T12:00:00
ORD-000115,432.16,West,2024-01-04T12:00:00
ORD-000116,450.57,North,
ORD-000117,467.83,South,2024-01-06T12:00:00
